id,act,tier,start_tc,end_tc,duration_s,speech_ratio,text,reason
X052,3,CUT,00:34:05:00,00:35:01:12,56.52,0.58,"There you go. Awesome. What was that? Do you know. Do you have an idea of what team would win today? Not really sure. Not really? Really sure. We're going to see. Maybe at dinner. Okay, good. Hey, we…",Fragmented crosstalk and an off-topic complaint about another organisation. Does not connect to the premise.
K086,3,SHOULD,00:35:01:12,00:35:26:09,24.92,0.78,Trying to sit down properly. This is really difficult for my legs. It's not. It's go for your legs. It's not made for a small lady like me. Okay. Do you see what I'm saying? Yeah. We should have got…,Elizabeth on the cart: 'It's not made for a small lady like me' / 'they gave me this one' / 'because you're the boss.'
X053,3,CUT,00:35:26:09,00:35:48:04,21.81,0.51,Because I was putting up things around the bus. I don't know where to stay. This is the biggest from the knee. Yeah. We did. When? When you teed off. We haven't seen him since. It's probably further.…,"Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K087,3,SHOULD,00:35:48:04,00:36:06:15,18.48,0.82,It's not me. So do you want me to go? No no no no no. It's okay. Do as you can. Just don't crash. Please. You don't want to get in trouble. I'll give this guy his space. Should I be wearing a helmet?…,'Just don't crash. Please.' and 'Should I be wearing a helmet? A Premium group helmet?' - gag still running.
X054,3,CUT,00:36:06:15,00:36:14:13,7.92,0.47,Yeah. Those that the people. Let him. Let him shoot. Nice.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
G010,3,OPTIONAL,00:36:14:13,00:36:27:16,13.16,0.0,(no dialogue),"possible visual moment, needs human review"
X055,3,CUT,00:36:27:16,00:36:41:11,13.79,0.45,"Oh, wait. I think they're all shooting one after the other. You can stop. Stop, stop, stop over here! Yeah. Do you want to do something fun?","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K100,4,OPTIONAL,00:36:41:11,00:37:00:04,18.72,0.73,"So yeah, I guess it's always better to stay quiet when someone is shooting, right? Because you don't want to disturb their shots and it's respectful. I guess it's golf, editing, adequate golf, adequa…","Golf etiquette explained badly - 'adequate golf, adequate etiquette'."
X056,4,CUT,00:37:00:04,00:37:06:04,6.0,0.0,(no dialogue),Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K101,4,MUST,00:37:06:04,00:37:23:17,17.56,0.76,"You forgot George was off. He was right there talking to us. Are you talking about. You forgot? I don't know how to get back. Oh my God, you guys decided to be with me? No, we didn't. We didn't have…",'You forgot George!' / 'I don't know how to get back' / 'You guys decided to be with me?' / 'We didn't have much choice.'
X057,4,CUT,00:37:23:17,00:37:50:00,26.32,0.54,"That's not to golf. Yeah, I don't know how to say that word. Yeah. Adequate etiquette. Etiquette, etiquette? No, I don't know. No, it's like I. Etiquette, etiquette, etiquette? Yeah. I think you're s…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K102,4,OPTIONAL,00:37:50:00,00:38:08:19,18.82,0.66,"Sometimes when my brain is in English mode, I can't think of French words. Okay. My mom would would know. I usually asked my mom. She's like, come on, Malcolm, how'd you not know this? And I'm like,…","Malcolm on losing his French - 'my mom would know. She's like, come on Malcolm, how'd you not know this?' Warm, personal, but a tangent."
X058,4,CUT,00:38:08:19,00:38:31:23,23.2,0.45,"Don't worry about it, man. I think that's my job. So my job is to have a camera in my face. There's no one here. No. There's no. Band with her. Hey, Lee fields group. Lindsey in Sanford.",Crosstalk while driving between groups.
K103,4,MUST,00:38:31:23,00:38:53:07,21.36,0.93,"You guys want to do a celebrity shot? I was like, what's that? It's like, oh, you like, do the drive? And I was like, fuck, I don't play golf. And then they were like, aim left. I was like, aim. What…","Elizabeth retells her own celebrity shot to the next group - 'aim left, I hit it, went right so bad onto the other field, I was so embarrassed. And they're like, at least you hit it.' A vlog telling its own story back."
X059,4,CUT,00:38:53:07,00:39:47:14,54.32,0.56,Yeah. How is your game going. Oh could be poor. All pars really solid. Well there's. Yeah that's them on the worst chunk in the who has the best one. Yeah I don't know. It'd be really cool. We would…,"Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
K104,4,SHOULD,00:39:47:14,00:40:08:18,21.2,0.8,"Could be all. Yeah. Just due to the expectation. But you don't have a GPS on your. That's right. No. No, not you know what I am. Because when I hit it in the woods you come back, right? Yeah. Oh, yea…","The caddy joke: 'When I hit it in the woods you come back, right?' / 'I don't know how much you're paying that guy.'"
X060,4,CUT,00:40:08:18,00:40:18:23,10.2,0.9,"I saw your first shot. I was going left and then just bounced. Your first, first, first shot. Oh, yeah. Yeah, yeah, that was a good shot. It came right in the middle. There you go. Yeah. Just as he d…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K105,4,OPTIONAL,00:40:18:23,00:40:28:14,9.64,0.77,Yeah. What do you guys think of the golf course? Beautiful. Yeah. Greens are slow. Yes they are. The greens are furry. All right Joe. Yeah.,'What do you think of the course?' / 'The greens are furry.'
X061,4,CUT,00:40:28:14,00:40:48:22,20.36,0.36,"Show it off, buddy. All right, we'll move back. We'll give you your space. Massage sports. Hi. Oh, hey. There we go. Oh, wait. That. Hey. Sorry, sorry, sorry.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
G011,4,OPTIONAL,00:40:48:22,00:40:57:02,8.17,0.0,(no dialogue),"possible visual moment, needs human review"
X062,4,CUT,00:40:57:02,00:40:58:20,1.75,0.73,Okay. Hey. What's up?,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
G012,4,OPTIONAL,00:40:58:20,00:41:13:13,14.72,0.0,(no dialogue),"possible visual moment, needs human review"
K106,4,OPTIONAL,00:41:13:13,00:41:35:12,22.0,0.44,"Nice. Give it up. That's on the green. Hey. Nice shot. Burnham loop. Oh, shit. Oh, shit! Oh, shit. All right, let's.",Shot called live plus the 'oh shit' reaction chain.
X063,4,CUT,00:41:35:12,00:41:38:09,2.88,0.4,Let's pass through.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K107,4,MUST,00:41:38:09,00:42:09:03,30.76,0.78,"Yeah. The mascot is thirsty. Yeah. So our mascot called, and he's thirsty. So we're going to go bring him some water. And hopefully he doesn't pass out of dehydration before we get there because we'r…",The mission that structures the act: the mascot is dehydrated at hole 12 and they have to drive water to him from hole 6 - straight into 'Do I look at the front or...' / 'Look forward! Look forward!'
X064,4,CUT,00:42:09:03,00:42:38:13,29.45,0.49,"Because I know that my daughters. I know better. Oh, yeah. Okay. We're actually training jujitsu just out here locally. Okay. Yeah. Yeah. You know, I'm a I'm a chicken shit. My shoulders already. Spi…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K108,4,OPTIONAL,00:42:38:13,00:42:49:12,10.96,0.73,"You just get thrown on the ground here. Do you want to show? Like, how do you throw them? Okay. Don't throw the panda. Throw. Zoe. Poor panda, you just get launched.","'Don't throw the panda. Poor panda, you just get launched.'"
X065,4,CUT,00:42:49:12,00:42:58:07,8.8,0.6,Is he. Is it gonna stay? I don't know. Yeah. You guys got a decent. Why don't you get a decent?,"Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K109,4,SHOULD,00:42:58:07,00:43:14:10,16.16,0.66,"He wants to try. But anyway, just like that. Just like that. If you get that done, you get three tickets for the raffle and the chiropractor. Three. Yeah, I said three. Yeah, yeah, she's actually a n…","The challenge terms, first pass: get thrown, get three raffle tickets 'and the chiropractor' - and she's a national champion."
X066,4,CUT,00:43:14:10,00:43:28:19,14.37,0.31,"She is what we do. You. Boy, they don't know the technique. No, she is good. Fazio. She's the way she.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K110,4,OPTIONAL,00:43:28:19,00:43:39:07,10.53,0.56,"Oh, oh. All right. Your turn next. Very nice. You got three tickets. Hey. Good job. I'm not going on LinkedIn.",'You got three tickets. Good job.' / 'I'm not going on LinkedIn bad for this.'
G013,4,OPTIONAL,00:43:39:23,00:43:48:17,8.76,0.0,(no dialogue),"possible visual moment, needs human review"
K111,4,OPTIONAL,00:43:48:17,00:44:03:17,15.0,0.6,"Okay, let me remove the glasses. And now you can see my my. No. The panda. You can go. The. The panda is a 14 year old kid. Come on. Three knee surgeries, five games. Lacrosse.",'The panda is a 14 year old kid... three knee surgeries.'
X067,4,CUT,00:44:03:17,00:44:31:00,27.32,0.49,"Okay. Thanks, guys. Thank you. Thank you. I know. How do you want to be? Problems? I know one technique. Which one? Oh, wow. Hey. Very good. Thank you. See you guys. Why don't you put, like, the chai…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K112,4,OPTIONAL,00:44:31:00,00:44:44:14,13.6,0.77,Guess why? Guess what? What? So they were talking about us today. Because they're coming to this thing here and came up to the school in Dartmouth. Really? Big deal. That's awesome. That's awesome. Y…,'They were talking about us today... came up to the school in Dartmouth.'
X068,4,CUT,00:44:44:14,00:45:02:11,17.91,0.34,"Here, let's put this like. Come for real? Thumbs up for the fox. Well, it's really a golf cart that. It looks good. What's happening?","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K113,4,MUST,00:45:02:11,00:45:21:18,19.32,0.84,"Oh, yeah. So we have the Toshi team has a booth at the the golf tournament. So here, if you get thrown by one of the girls, you get three tickets for the raffle. And if you get thrown by the panda, I…","The cleanest statement of the challenge - three tickets from the girls, four from the panda. This is the version to keep."
X069,4,CUT,00:45:21:18,00:45:42:01,20.28,0.8,"What do you think is good? Oh, that's great, I love it. Did you talk? Oh, I'll do it all the way. It's a. The judo club is founded by Denny, and it's also sponsored. It's sponsored by a premium. So w…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K114,4,OPTIONAL,00:45:42:01,00:45:50:16,8.64,0.95,So the challenge is we're selling flower not selling. We're getting tickets out. But to get tickets you gotta get thrown by one of us. Go get thrown.,The athletes pitch the challenge themselves: 'to get tickets you gotta get thrown by one of us.'
X070,4,CUT,00:45:50:16,00:46:31:06,40.64,0.52,"Yeah okay, okay I am I asked the question, wasn't it for us? Tickets. The tickets? Yeah. Tickets. We got work. Yeah, we're doing all the work. You just gotta evolve. I'm gonna pass. Do you want to sh…","Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
X071,4,CUT,00:47:02:11,00:47:07:18,5.3,0.25,Good job. Okay.,French-language interview and repeated throw cycles with no new dialogue beat. Not in English / already covered.
G014,4,OPTIONAL,00:47:07:18,00:47:17:20,10.09,0.0,(no dialogue),"possible visual moment, needs human review"
X072,4,CUT,00:47:17:20,00:48:54:15,96.87,0.49,That. Okay. Acquisition. Premium. Simply. Subtitle. Montée. Tout d'affaires. Strategy. It's not marshy on no d'avoir loan. Marriage. On. Project. On Project Quebec. Plus plus. There you go. Do you wa…,French-language interview and repeated throw cycles with no new dialogue beat. Not in English / already covered.
G015,4,OPTIONAL,00:48:54:15,00:49:03:04,8.55,0.0,(no dialogue),"possible visual moment, needs human review"
G016,4,OPTIONAL,00:49:03:13,00:49:12:10,8.88,0.0,(no dialogue),"possible visual moment, needs human review"
X073,4,CUT,00:49:12:10,00:49:25:02,12.67,0.29,Atlantic. Fake Marcia Grossi. Cocaine explosion. Good.,French-language interview and repeated throw cycles with no new dialogue beat. Not in English / already covered.
K115,4,MUST,00:49:25:02,00:50:00:01,35.0,0.71,"A challenge for you guys. Oh, boy. What's the challenge? All right. The. You guys take over. You guys get thrown by one of us for for. Use my language. But fuck that. You want to demonstrate a golf t…","The reluctance comedy: 'What's the challenge?' / 'Absolutely not.' / 'Guys, every other team did at least one.' / 'It's a soft fall.'"
X074,4,CUT,00:50:00:01,00:50:03:23,3.92,0.45,Here. She'll show you. She'll show you.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K116,4,SHOULD,00:50:03:23,00:50:10:00,6.04,0.65,That's what's going to happen. You're gonna get. You're gonna get thrown on your back.,'You're gonna get thrown on your back. Can't see anything.'
X075,4,CUT,00:50:10:00,00:50:20:08,10.36,0.28,Can't see anything. Oh. Oh!,"Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
G017,4,OPTIONAL,00:50:20:08,00:50:31:02,10.76,0.0,(no dialogue),"possible visual moment, needs human review"
K117,4,SHOULD,00:50:31:02,00:50:49:13,18.48,0.59,"Here. Come on. Let one other girls do it. Let one of the girls do it. Oh! It's fucking. It's blocking. You can't move. You can't see anything. Oh, there you go. Very nice. Good job.",The throw and the aftermath - 'You can't move. You can't see anything. Very nice. Good job.'
X076,4,CUT,00:50:49:13,00:50:54:17,5.16,0.0,(no dialogue),Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K118,4,OPTIONAL,00:50:54:17,00:51:02:05,7.52,0.95,The last thing said. Said there's a real tall guy. I don't know which one that we're talking about. There's a real tall guy. Throw him hard. Throw him hard.,'There's a real tall guy. Throw him hard.'
X077,4,CUT,00:51:02:05,00:51:57:15,55.45,0.34,"Oh, sorry. On the green. Yeah. So how's your. How's your game going so far? Not bad. Yeah. Who's the best? Best player? This. Oh, yeah. And it was the worst swing. You tell us. All right. We'll judge…",More throw cycles with thin dialogue - the same beat as 49:28 and 52:30.
G018,4,OPTIONAL,00:51:57:15,00:52:17:01,19.45,0.0,(no dialogue),"possible visual moment, needs human review"
X078,4,CUT,00:52:17:01,00:52:18:21,1.84,0.87,Oh. Nice one.,More throw cycles with thin dialogue - the same beat as 49:28 and 52:30.
G019,4,OPTIONAL,00:52:18:21,00:52:27:03,8.24,0.0,(no dialogue),"possible visual moment, needs human review"
K119,4,MUST,00:52:27:03,00:52:51:00,23.92,0.59,"Just like that. I just my kid needs his burst. When my kid was five doing judo, but. Oh, yeah. Come on, Danny. I weighed more than the two of those girls together. Oh, yeah, I'm all right. I'm callin…",'I weighed more than the two of those girls together'... then 'I'm calling in sick tomorrow. This is the worst challenge. Do it again.' Best single line in the act.
X079,4,CUT,00:52:51:00,00:52:56:06,5.24,0.12,Can we get.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K120,4,MUST,00:52:56:06,00:53:21:12,25.28,0.47,"I'm used to being the guy that everyone throws darts at. At. Champions used to play hockey, get beat up for it. He just got done saying that was nothing. He said that. She wasn't. She wasn't filming.…","The thing going wrong, live: he gets thrown, and 'She wasn't filming. Help me out, motherfucker. I gotta be honest, that wasn't video.'"
X080,4,CUT,00:53:21:12,00:53:28:18,7.24,0.0,(no dialogue),Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K121,4,OPTIONAL,00:53:28:18,00:53:33:14,4.84,0.49,Give him tickets. Give him more tickets. Okay.,'Give him tickets. Give him more tickets.'
X081,4,CUT,00:53:33:14,00:53:48:10,14.86,0.44,"Yep. Thanks a lot. You know, tractor around. Oh. Akuma taking a shit. Don't say like shit. Hey, how are you guys doing?","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K122,4,OPTIONAL,00:53:48:10,00:53:53:14,5.16,0.86,"Welcome, welcome. This is the best event, is it? It is the best challenge. It is?",'This is the best challenge.'
X082,4,CUT,00:53:53:14,00:54:27:13,34.0,0.52,"Yeah. This is what? Oh, geez. I came out of. Yes, I'll see you at that. I'm tapping out right there. Okay, so we're with the Toshi stand. So we're the club that then he founded? Yeah. So founded and…","Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
K123,4,SHOULD,00:54:27:13,00:54:34:14,7.04,0.9,"Yeah, but you can't sue us. You can't sue us. But you can't. You can't sue us. I figured that was it. Yeah, yeah. You can't sue us.",The running gag crystallises: 'You can't sue us. You can't sue us.'
X083,4,CUT,00:54:34:14,00:54:54:20,20.28,0.48,"Do you want to demonstrate the throw? That's it, that's it. That's all it is. Three tickets. Three tickets. All right. All good? Yeah. Oh. Yes, sir. There you go. Every team so far has done at least…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
G020,4,OPTIONAL,00:54:54:20,00:55:04:08,9.52,0.0,(no dialogue),"possible visual moment, needs human review"
K124,4,MUST,00:55:04:08,00:55:27:07,23.0,0.54,"No one's been injured yet. Yeah, yeah. You can't sue them. Can't sue us. Can't sue us. Oh, I slipped. Are you all right? Is he okay? Okay. He's our best Potter. We can't have him. Good job. There you…","'No one's been injured yet' - immediately followed by 'Oh, I slipped. Are you all right? He's our best putter, we can't have him.' Perfect comic turn."
X084,4,CUT,00:55:27:07,00:57:11:02,103.86,0.23,"What I want you to. We. Go flush. Just the water massage. Did. Hey, check. That's true. Oh, yeah. Oh my God. Nice. Can I do. What's up guys. Yeah, yeah. I feel like you guys have been. Looking forwar…",Further repeated throws. The 'no one's been injured yet' turn already did this better.
K125,4,OPTIONAL,00:57:11:02,00:57:19:14,8.51,0.88,"And you can't sue us, by the way. Yeah, I've been telling everyone that was right. There's one guy. One guy got thrown three times. Like, don't worry, I work with insurance. I'm not going to sue you…","'One guy got thrown three times. Don't worry, I work with insurance, I'm not going to sue you.'"
X085,4,CUT,00:57:19:14,00:57:41:21,22.32,0.52,"You just fall. You just fall. Oh. Oh. They're good. All right, I gotta get my camera, though. I forgot about that. No, no. All right. Yeah, it's a soft throw. It's a soft throw. Yeah. That's good, th…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K126,4,OPTIONAL,00:57:41:21,00:57:47:16,5.8,0.85,"Yeah. You have a choice, Kumar. Kumar loves seeing people get thrown. He loves it.","'You have a choice, Kumar. Kumar loves seeing people get thrown.'"
X086,4,CUT,00:57:47:16,00:58:26:14,38.96,0.32,"You want me to take care of your glasses? No. They will. Okay. Okay. Yeah, we'll find out. Kumar. Come on. Why don't you. Oh. Oh. This. Yo, I didn't know we were like that. Yes. Who? Through asking.…","Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
K127,4,MUST,00:58:26:14,00:59:00:09,33.84,0.8,"So three is heavily involved in judo? Yeah. So we're. Well. This is. I'm. Well, I founded the club. Yeah, but we're also sponsoring Judo Canada. Like the the the Olympic team. Oh, really? Yeah, yeah.…","The real information under the whole day: Premium sponsors Judo Canada, the Olympic team and an Olympic medallist. This is why the tent is here."
K128,4,OPTIONAL,00:59:01:21,00:59:28:19,26.96,0.81,"No, I've done, I've I've gone to a couple BJJ classes with buddies, but not judo. Yeah. Well JJ well it's it's similar. Yeah. It actually comes from judo. It's just. No no no no. Trust me. I mean, I…","Judo vs BJJ, landing on 'I just tell them they're just cuddling in BJJ.'"
X087,4,CUT,00:59:28:19,00:59:41:09,12.6,0.5,"Yeah, we said that to you. Get tickets or something. Yeah, yeah. You got the ticket. See all your tickets? Yeah. If it would have been for free.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K129,4,MUST,00:59:41:09,00:59:51:12,10.12,0.32,So thank you guys. My wife throws me around better than that. Oh.,'So thank you guys. My wife throws me around better than that.' Best one-liner of the day.
X088,4,CUT,00:59:51:12,00:59:54:16,3.15,0.49,So I guess the usual guy I see.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
G021,4,OPTIONAL,00:59:54:16,01:00:11:07,16.65,0.0,(no dialogue),"possible visual moment, needs human review"
X089,4,CUT,01:00:11:07,01:00:24:10,13.15,0.42,Oh. Premium route. Here. Take mine. Take mine. You.,"Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
G022,4,OPTIONAL,01:00:24:10,01:00:44:02,19.68,0.0,(no dialogue),"possible visual moment, needs human review"
K130,4,OPTIONAL,01:00:44:02,01:01:08:14,24.52,0.87,"He throws hard knowing all get her because last time he fell on top of the guy because he you can't see, she can't see anything and he can't grab properly. Let's do it. Let's do it. Yeah yeah yeah ye…","Why the mascot throw is worth four tickets - he can't see, can't grip, and lands on top of you."
X090,4,CUT,01:01:08:14,01:01:18:20,10.28,0.3,"Oh, my. Oh, my. Good job.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K131,4,SHOULD,01:01:18:20,01:01:39:05,20.4,0.83,"You too scared, Elizabeth. Okay. Go! Run! Yeah, yeah! Go! Run! You're talking. You're. No. There was a 60 year old guy you got thrown, and then you shot right in the middle over there. It was perfect…","'You too scared, Elizabeth?' / 'Go! Run!' and 'I hear my bones cracking. I'm kidding, I'm kidding.'"
X091,4,CUT,01:01:39:05,01:02:18:17,39.52,0.46,"Come on. Get thrown for sure. Yeah. For sure. For sure. Yeah. I want to see. Cricket. Come on over. You just stand here. You'll get broken. It's the judo Toshi challenge. Oh, yeah. Yeah. It is. Yeah.…","Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
K132,4,OPTIONAL,01:02:18:17,01:02:33:20,15.16,0.54,"I take my glasses off and take your glasses. Probably, yeah. Don't forget to make a deep breath. You also can't. Can't sue us. Yeah. Whoa! A very nice.",'Don't forget to take a deep breath. You also can't sue us.' then the throw.
X092,4,CUT,01:02:33:20,01:02:39:06,5.4,0.0,(no dialogue),Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K133,4,OPTIONAL,01:02:39:06,01:03:04:08,25.12,0.71,"How does it feel, Eric? Congratulations. Actually, I heard you guys are doing some pretty amazing things at the Canadian games or. Yeah. Yeah, they got a few medals here starting soon. That's awesome…","'How does it feel, Eric?' plus the athletes' credentials - national champions, Canada Games medals."
X093,4,CUT,01:03:04:08,01:03:07:06,2.92,0.0,(no dialogue),Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K134,4,MUST,01:03:07:06,01:03:33:19,26.56,0.67,Who's next? Premiums aren't allowed to participate. That's not true. That's not true. Let me call Denny right now. You need to do it because we are from Reimu. We haven't had anyone from premium. We…,The turn: 'Premium aren't allowed to participate' / 'We haven't had anyone from Premium get thrown' / 'Let's go. What am I doing?' The crew stops filming it and joins it.
X094,4,CUT,01:03:33:19,01:03:58:12,24.73,0.36,"Like your messing with here, but no, no. Under like his waist. He can't see you. Yeah, he can't see anything. He's just blind. I don't know. Oh. We're only. We're only. Oh. Oh.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K135,4,MUST,01:03:58:12,01:04:18:09,19.92,0.66,"Oh, you lost your foot again. Oh. Was gonna fight the green foot. Yeah, he wanted to. He called out. He called him out. He called him out. He called him out. We took a picture, and then he pointed it…","Pays off 'mascot beef' from 11:16 - the Green Foot mascot called out the panda, 'and he didn't realise he was a martial artist.'"
X095,4,CUT,01:04:18:09,01:04:32:21,14.48,0.27,Okay. And still owe our time. Can't throw everything. Scared of getting thrown by the band. Okay.,"Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K136,4,SHOULD,01:04:32:21,01:04:44:18,11.92,0.56,"For tickets? No tickets for the premium, guys. No. No, really? No no, no. That's too bad. That's sucks. That really sucks. No.",'No tickets for the Premium guys.' / 'That really sucks.'
X096,4,CUT,01:04:44:18,01:04:53:07,8.54,0.36,"Yeah. I honestly, I didn't think. Give it to Elizabeth. Elizabeth for the.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K137,4,MUST,01:04:53:07,01:05:03:16,10.4,0.93,There you go. It's off. You want it in your pocket? I'm driving now. I'm driving because Elizabeth a little too crazy behind the wheel. And we're finally safe. It's finally safe. I don't know about t…,"Resolution of the cart gag: 'I'm driving now, because Elizabeth's a little too crazy behind the wheel. And we're finally safe.'"
G023,5,OPTIONAL,01:05:03:16,01:05:16:14,12.92,0.0,(no dialogue),"possible visual moment, needs human review"
K150,5,SHOULD,01:05:16:14,01:05:21:21,5.28,0.85,"I'm hungry, so I'm going to drive fast. I also don't want to get hit by these kids. They look pretty skilled.","'I'm hungry, so I'm going to drive fast.' - immediately undercuts 'we're finally safe'."
X097,5,CUT,01:05:21:21,01:05:36:11,14.6,0.31,"Panda was. Was. We wait, or should we go? Yeah. Yeah, we're gonna wait a bit.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K151,5,OPTIONAL,01:05:36:11,01:05:50:11,14.0,0.33,"Panda was fun. Yeah, yeah, he did a good job. Yeah. All right, I'm gonna go. For this.",'Panda was fun. He did a good job.'
X098,5,CUT,01:05:50:11,01:06:03:17,13.28,0.3,"What? Yeah, I usually don't go higher than that, so we should be safe here.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K152,5,OPTIONAL,01:06:03:17,01:06:18:19,15.08,0.64,"When I was a kid, we would drive this around with, like, five people on it. Doing the front, doing the back, one on the top. A lot of fun. At least this time we're driving, like, in the proper direct…",'When I was a kid we would drive this around with five people on it' / 'At least this time we're driving in the proper direction.'
X099,5,CUT,01:06:18:19,01:06:40:11,21.72,0.72,"I don't think I could get into goal, but I would just like to try anything. Yeah, yeah, just see if I can. I could get into it, but just like nine holes at a time. Okay. Nine holes at the thing. Yeah…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K153,5,MUST,01:06:40:11,01:06:50:07,9.83,0.51,"That was trash. Everybody so friendly, though? I don't hear any trash talk. I would talk so much shit.",'Everybody's so friendly. I don't hear any trash talk. I would talk so much shit.'
X100,5,CUT,01:06:50:07,01:07:06:14,16.32,0.48,"Oh, he's right there. I thought he was further. We'll come back this way and just get to the house later. Yes. You know. Part. Turn it off. All right. Good to go.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
G025,5,OPTIONAL,01:07:06:14,01:07:19:22,13.32,0.0,(no dialogue),"possible visual moment, needs human review"
X101,5,CUT,01:07:19:22,01:08:04:03,44.28,0.81,Yeah. Is it on? Are you doing good? Good. We're with the social media team. Okay. So we're. We've been going around all the tents and everything and trying to get some content of the guys doing the t…,"Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
K154,5,SHOULD,01:08:04:03,01:08:13:23,9.84,0.89,And what do you have going on here? This is a chipping contest. Okay. So you get to chip it in and then they get tickets for the door prizes. Okay. There you go. Awesome. Yeah.,New information the next beat needs: the chipping contest and how it pays out tickets.
X102,5,CUT,01:08:13:23,01:08:33:22,19.96,0.85,"Anything else? Yes. What's your relationship with premium? Yeah. What's your relationship with premium? So I trained the Joint Health and Safety Committee. Okay. And then Jeremiah is like, can we inv…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K155,5,OPTIONAL,01:08:33:22,01:08:56:16,22.8,0.86,"Good. Good. And how long you've been with premium? Premium? We just made the relationship this year. Elizabeth, I trained her last year at a different job. She did the health and safety committee tra…","How Parish Safety came to be here - via Elizabeth's previous job. Nice connective tissue, not essential."
X103,5,CUT,01:08:56:16,01:09:41:06,44.6,0.88,"So there you go. Awesome. Yeah. Good. And what was your name? Jeremy. Parish. Jeremy. All right. Also, it's your. It's your business. Yeah. Okay. Nice. There you go. I deal with other companies like…","Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
K156,5,SHOULD,01:09:41:06,01:09:53:09,12.16,0.74,"Chip, what can I, can I try? Because usually they don't have sticks. I'm gonna try it. Let's see my skills. Let's see my skills. No, no, no, I work for premium, so I'm not allowed. I'm already right.","'Can I try? Let's see my skills.' / 'I work for Premium, so I'm not allowed.' - the crew gets a second go at golf."
X104,5,CUT,01:09:53:09,01:10:14:20,21.48,0.65,"All right, let's try this. So chipping is not on a tee. No. And how far do I have to be right here? Just somewhere behind those two tees there. Okay. All right. And then one, two three tickets. Yep.…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K157,5,OPTIONAL,01:10:14:20,01:10:24:22,10.08,0.63,"Oh, maybe if I'm good enough, they'll let me play next time. So I've taken the videos. I'm kidding. I don't want to hit you, man.",'Maybe if I'm good enough they'll let me play next time. I'm kidding.'
X105,5,CUT,01:10:24:22,01:10:28:21,3.96,0.28,Oh. Easy.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K158,5,MUST,01:10:28:21,01:10:50:04,21.32,0.54,"All right. Let's go for a little bit higher. Oh, come on, George. That was bad. That was bad. You got that? Come on. George. Too high. All right, all right. No, that was pretty bad. Come on. You got…","The chipping attempt heckled in real time: 'That was bad. Come on, George. Too high. You have to get the shot that I got.'"
X106,5,CUT,01:10:50:04,01:10:52:07,2.11,0.38,Oh. On timer.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
